Gender,Age,Homeincome,NumHH,Distance,Home_X,Home_Y,Work_X,Work_Y,Home_Hcode,Work_Hcode,Prob
0,3,4,5,1,126.920815,37.561783,126.901825,37.560116,1144071000,1144070000,0.0005
1,1,4,3,3,126.93289,37.479694,126.88311,37.47783,1162064500,1154551000,0.0005
0,3,3,3,4,126.92334,37.638718,126.95051,37.585163,1138069000,1141065500,0.0005
1,4,3,4,1,126.90225,37.531227,126.89507,37.536278,1156056000,1156062000,0.0005
0,2,6,4,7,127.08345,37.624477,126.925804,37.524593,1135060000,1156054000,0.0005
1,3,3,1,1,126.9526,37.552162,126.95344,37.54889,1144055500,1144055500,0.0005
0,2,4,3,7,127.09243,37.511665,126.91456,37.604538,1171068000,1138062500,0.0005
1,0,2,1,7,126.90975,37.59873,127.094955,37.510857,1138063100,1171068000,0.0005
1,2,4,3,1,126.895805,37.502132,126.897865,37.498898,1156072000,1156072000,0.0005
0,2,4,1,7,127.142136,37.479412,127.03847,37.569088,1171064700,1120054000,0.0005
1,2,2,2,1,127.0365,37.49842,127.05012,37.509747,1168064000,1168059000,0.0005
1,3,4,4,1,126.87195,37.525826,126.88076,37.53633,1147051000,1147055000,0.0005
1,1,2,1,2,127.066605,37.602104,127.05986,37.581562,1123075000,1123057000,0.0005
1,2,4,4,3,127.10157,37.54429,127.04727,37.548042,1121581000,1120066000,0.0005
1,3,3,1,1,126.97213,37.562176,126.983185,37.565777,1114052000,1114055000,0.0005
1,0,3,1,2,126.96731,37.548874,126.983185,37.565777,1117055500,1114055000,0.0005
0,0,3,1,7,126.88937,37.51698,127.0346,37.499786,1156060500,1168064000,0.0005
0,1,4,3,7,127.13003,37.496304,127.01673,37.59349,1171063200,1129057500,0.0005
1,1,5,4,7,126.90225,37.531227,127.09418,37.53599,1156056000,1121587000,0.0005
1,4,2,1,5,127.06139,37.57029,127.0044,37.501976,1123061000,1165058100,0.0005
0,4,4,1,7,127.13308,37.50557,126.994446,37.565884,1171057000,1114060500,0.0005
1,1,5,4,7,126.87425,37.51936,127.047646,37.52253,1147063000,1168056500,0.0005
1,3,3,3,7,126.93289,37.479694,127.10325,37.48732,1162064500,1168075000,0.0005
1,1,2,1,2,127.12778,37.534306,127.15006,37.557384,1174065000,1174055000,0.0005
0,3,5,4,7,127.010994,37.60429,127.12458,37.540825,1129063000,1174061000,0.0005
1,2,5,4,5,127.091354,37.55899,127.04988,37.47844,1121577000,1168069000,0.0005
0,4,3,4,2,127.03909,37.48873,127.01026,37.487865,1168065500,1165053000,0.0005
0,0,2,3,1,126.96807,37.538246,126.96763,37.530537,1117056000,1117062500,0.0005
