Gender,Age,Homeincome,NumHH,Distance,Home_X,Home_Y,Work_X,Work_Y,Cluster,Home_Hcode,Work_Hcode
0,0,3,2,4,126.8503,37.500046,126.8464,37.5603,6,1153074000,1150053500
0,2,2,3,1,126.99646,37.557877,127.017296,37.560993,5,1114057000,1114066500
0,0,4,4,1,127.00308,37.57851,127.00077,37.5796,3,1111064000,1111064000
1,2,4,3,2,126.87253,37.542698,126.89507,37.536278,6,1147052000,1156062000
0,1,3,1,5,126.97749,37.490883,126.92106,37.562405,11,1159063000,1144071000
1,3,4,4,4,126.853226,37.564747,126.925804,37.524593,12,1150060400,1156054000
1,4,1,1,1,127.06795,37.566452,127.06595,37.56431,9,1123065000,1123065000
0,2,4,4,2,126.862595,37.510986,126.89422,37.516567,6,1147068000,1156060500
0,1,4,1,5,127.07759,37.589306,126.9847,37.57201,9,1126052000,1111061500
1,2,2,3,1,126.87253,37.542698,126.88076,37.53633,6,1147052000,1147055000
1,4,3,2,7,126.90806,37.45953,126.983185,37.565777,1,1154570000,1114055000
1,4,1,1,1,127.09395,37.5847,127.088875,37.588333,9,1126057500,1126056500
0,2,4,3,6,126.81388,37.57678,126.91245,37.508156,12,1150064100,1156066000
0,1,3,2,3,126.95916,37.575596,127.00158,37.59291,5,1111057000,1129052500
1,4,3,2,1,127.01629,37.630272,127.01299,37.640015,3,1130561500,1130566000
0,3,5,4,5,126.95988,37.48943,126.994446,37.565884,11,1162054500,1114060500
1,1,2,1,4,126.99501,37.485264,127.0628,37.50562,11,1165060000,1168061000
1,0,2,1,4,127.01819,37.560776,127.0346,37.499786,10,1114066500,1168064000
1,2,3,3,2,126.848564,37.534004,126.88929,37.52562,6,1150059300,1156061000
0,3,5,5,3,126.96644,37.471664,127.01026,37.487865,11,1162062500,1165053000
0,1,4,3,7,127.04778,37.679993,126.97455,37.56353,7,1132052200,1114052000
0,3,2,1,7,127.05003,37.620293,127.05012,37.509747,13,1129078000,1168059000
0,1,4,1,1,126.9009,37.454594,126.89868,37.455036,1,1154567000,1154567000
1,0,2,1,7,127.04589,37.61724,126.89507,37.536278,13,1129076000,1156062000
0,0,4,5,7,127.08025,37.583115,126.88311,37.47783,9,1126055000,1154551000
1,4,4,3,2,127.08945,37.588623,127.10444,37.60375,9,1126056500,1126065500
0,2,3,4,7,127.04328,37.654743,127.0592,37.545345,7,1132051500,1120069000
1,3,3,3,3,126.90827,37.52375,126.8469,37.53376,6,1156053500,1150059300
1,1,4,4,7,127.12032,37.497013,126.9847,37.57201,4,1171062000,1111061500
0,4,3,2,1,127.02787,37.509563,127.02049,37.49868,2,1168052100,1165053100
1,3,4,4,1,127.05506,37.545803,127.04473,37.543495,10,1120069000,1120065000
0,3,4,3,2,127.031265,37.64759,127.05984,37.651226,7,1132068000,1135069500
1,1,3,2,5,126.826584,37.534958,126.925804,37.524593,6,1147058000,1156054000
1,1,2,1,2,127.10235,37.502632,127.12065,37.48295,4,1171060000,1171064200
1,3,4,5,1,127.09395,37.5847,127.08883,37.597958,9,1126057500,1126058000
0,1,3,1,2,127.0187,37.609486,127.01377,37.58782,3,1129066000,1129055500
0,0,5,2,1,126.95173,37.538967,126.95451,37.54658,5,1144058500,1144056500
0,0,3,5,4,127.08216,37.61453,127.08179,37.553238,13,1126062000,1121578000
0,3,6,3,3,126.972466,37.488396,127.02878,37.49143,11,1159064000,1165052000
1,1,3,1,2,127.066605,37.602104,127.07411,37.623993,9,1123075000,1135059500
1,1,3,4,7,126.9153,37.47654,126.806816,37.55611,1,1162076500,1150062000
1,2,4,3,2,126.856476,37.492092,126.88135,37.497166,6,1153075000,1153053000
0,3,6,3,3,127.033195,37.575626,126.9847,37.57201,10,1123053600,1111061500
0,1,4,3,2,127.02154,37.568966,126.9847,37.57201,10,1114067000,1111061500
1,3,4,4,2,126.875534,37.49406,126.873886,37.527237,1,1153052000,1147051000
0,4,4,2,5,127.14025,37.55642,127.12065,37.48295,0,1174059000,1171064200
0,4,2,3,1,126.92166,37.59237,126.93083,37.584583,8,1138059000,1141068500
1,4,6,3,1,127.0103,37.484177,127.01026,37.487865,2,1165053000,1165053000
1,0,6,3,3,126.92868,37.548557,126.9761,37.557823,5,1144065500,1114054000
0,2,6,4,2,126.87133,37.552193,126.900505,37.531773,12,1150051000,1156056000
1,1,4,4,5,126.88573,37.524372,126.9761,37.557823,6,1156061000,1114054000
1,3,3,2,1,126.8885,37.502903,126.88918,37.502804,1,1153056000,1153056000
1,2,2,4,7,127.15086,37.55883,127.00471,37.565742,0,1174055000,1114059000
0,3,5,5,3,126.952415,37.498062,127.01887,37.505806,11,1159053000,1165056000
1,0,2,5,4,126.936806,37.47438,126.98706,37.522045,1,1162066500,1117069000
1,0,2,5,4,126.936806,37.47438,127.02049,37.49868,1,1162066500,1165053100
0,1,4,3,2,127.01452,37.543526,126.983185,37.565777,10,1120064500,1114055000
1,1,6,4,7,127.10615,37.52054,126.972786,37.572796,4,1171069000,1111053000
0,2,2,3,1,126.95459,37.52718,126.96682,37.53738,5,1117064000,1117056000
0,0,2,4,2,127.026634,37.5611,127.04727,37.548042,10,1120052000,1120066000
0,0,4,4,4,127.01445,37.62317,126.9847,37.57201,3,1130553400,1111061500
1,1,2,1,7,127.08345,37.624477,127.0346,37.499786,13,1135060000,1168064000
1,4,2,3,3,126.94212,37.542072,126.972786,37.572796,5,1144059000,1111053000
1,1,2,4,1,126.89333,37.46519,126.8944,37.467144,1,1154561000,1154561000
0,0,3,3,7,127.04778,37.679993,126.9847,37.57201,7,1132052200,1111061500
1,0,3,3,7,127.08216,37.61453,127.11505,37.5016,13,1126062000,1171059000
0,2,4,4,7,127.0079,37.615818,126.94998,37.4629,3,1129065000,1162073500
1,0,2,1,1,127.04755,37.514008,127.0628,37.50562,2,1168059000,1168061000
0,2,4,3,1,126.928795,37.52282,126.9289,37.50731,1,1156054000,1159066000
0,1,3,4,7,127.06408,37.609386,126.93083,37.584583,13,1129081000,1141068500
0,4,4,2,7,127.09147,37.50212,126.906555,37.521545,4,1171061000,1156053500
0,3,3,3,1,126.92844,37.466244,126.94998,37.4629,1,1162074500,1162073500
