Indx,Gender,Age,Homeincome,NumHH,Home_Hcode,Work_Hcode,Distance,Home_X,Home_Y,Work_X,Work_Y,Prob_XYZ
972,0,0,3,3,1130564500,1150062000,3,127.011795,37.65048,126.806816,37.55611,5.5569446e-05
551,1,3,4,5,1144073000,1117070000,2,126.90454,37.570023,126.998,37.52757,8.825737e-06
248,0,0,3,3,1120056000,1111054000,1,127.03615,37.557762,126.98221,37.585373,3.2616858e-06
18,0,1,4,3,1150059300,1156061000,1,126.848564,37.534004,126.88929,37.52562,5.103318e-06
645,1,4,4,2,1171064200,1171064200,1,127.11778,37.485397,127.12065,37.48295,2.7279542e-05
913,1,2,4,5,1129061000,1123074000,1,127.01824,37.582664,127.05945,37.59689,3.031061e-06
525,1,3,3,4,1132052200,1132052200,1,127.04778,37.679993,127.048004,37.68332,1.2071982e-05
299,1,1,3,2,1168065500,1168053100,1,127.03909,37.48873,127.03564,37.51618,5.8838236e-06
590,0,4,4,3,1132051100,1114060500,2,127.04429,37.647995,126.994446,37.565884,4.001e-05
159,1,2,2,2,1129061000,1129060000,1,127.01824,37.582664,127.02956,37.588108,1.0608714e-05
471,1,0,2,1,1132052200,1156056000,3,127.04778,37.679993,126.900505,37.531773,3.0387338e-05
227,0,0,2,3,1141064000,1129055500,1,126.94957,37.593525,127.01377,37.58782,1.5628908e-05
60,1,1,3,3,1130553400,1111061500,2,127.01445,37.62317,126.9847,37.57201,3.5302943e-05
956,1,3,3,3,1154568000,1114059000,3,126.91757,37.449543,127.00471,37.565742,2.5006251e-05
684,0,2,3,1,1154563000,1154551000,1,126.90364,37.475784,126.88311,37.47783,2.1574022e-05
885,0,2,6,4,1156056000,1153054000,1,126.90225,37.531227,126.8956,37.484562,3.7046295e-06
941,0,1,3,2,1135069500,1144059000,3,127.06129,37.650402,126.94696,37.54184,1.1395252e-05
357,0,2,4,4,1153077000,1168054500,3,126.84401,37.496304,127.032486,37.525246,1.765147e-05
41,1,3,3,3,1153075000,1153053000,1,126.856476,37.492092,126.88135,37.497166,6.350794e-06
307,0,1,4,3,1117056000,1114055000,1,126.96807,37.538246,126.983185,37.565777,2.4596317e-05
724,0,2,6,4,1135070000,1168058000,3,127.05457,37.666203,127.060036,37.51189,2.532278e-06
86,0,3,3,4,1171062000,1168072000,1,127.12032,37.497013,127.084724,37.48722,1.3639773e-05
59,0,3,6,3,1120052000,1120066000,1,127.026634,37.5611,127.04727,37.548042,4.3489144e-06
961,1,3,3,3,1159066000,1117053000,2,126.92659,37.506725,126.97208,37.54746,3.7046295e-06
273,1,3,3,3,1147056000,1147061000,1,126.83398,37.53139,126.84333,37.517014,5.103318e-06
